id,name,moneycontrol_link,Score,Sr.no
532531,STRIDES SHASUN LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-general/edelweissfinancialservices/EC01,,180
532777,INFO EDGE (INDIA) LTD.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01,,181
500040,CENTURY TEXTILES & INDUSTRIES LTD,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,,182
532178,ENGINEERS INDIA LTD,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/engineersindia/EI14,,183
500411,THERMAX LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/thermax/T,,184
512599,ADANI ENTERPRISES LTD.,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,,185
532477,UNION BANK OF INDIA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/unionbankindia/UBI01,,186
540064,FUTURE RETAIL LTD.,http://www.moneycontrol.com/india/stockpricequote/retail/futureretail/FR,,187
532839,DISH TV INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/media-entertainment/dishtvindia/DTV,,188
500674,SANOFI INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sanofiindia/AP26,,189
500101,ARVIND LTD.,http://www.moneycontrol.com/india/stockpricequote/textiles-denim/arvind/A18,,190
500084,CESC LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/cesc/CES,,191
511072,DEWAN HOUSING FINANCE CORPN. LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-housing/dewanhousingfinancecorporation/DHF,,192
532779,TORRENT POWER LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/torrentpower/TP14,,193
500877,APOLLO TYRES LTD.,http://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,,194
500488,ABBOTT INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,,195
506395,COROMANDEL INTERNATIONAL LTD.,http://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,,196
532843,FORTIS HEALTHCARE LTD.,http://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/fortishealthcare/FH,,197
503806,SRF LTD.,http://www.moneycontrol.com/india/stockpricequote/textiles-manmade/srf/SRF,,198
540153,ENDURANCE TECHNOLOGIES LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/endurancetechnologies/ET01,,199
517385,SYMPHONY LTD.,http://www.moneycontrol.com/india/stockpricequote/consumer-goods-white-goods/symphony/SCS04,,200
